Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
MLBL,2026-03-19,393.0,408.0,389.3,405.1,3.08,199086.0,468.6,348.9
MLBS,2026-03-19,1468.0,1500.0,1453.0,1500.0,2.18,1626.0,1915.0,1395.0
MLBSL,2026-03-19,1885.0,1920.0,1848.0,1919.9,1.85,2336.0,2435.5,1808.4
MMF1,2026-03-19,9.45,9.63,9.32,9.43,-0.21,85978.0,9.95,8.05
MMKJL,2026-03-19,584.4,595.0,564.0,585.0,0.1,12887.0,732.9,528.2
MNBBL,2026-03-19,387.0,402.0,387.0,400.1,3.39,206199.0,503.0,340.1
MNMF1,2026-03-19,9.89,9.93,9.61,9.74,-1.52,39790.0,10.11,8.53
MPFL,2026-03-19,728.5,728.5,700.0,725.0,-0.48,59952.0,730.0,491.0
MSHL,2026-03-19,807.1,820.0,798.0,808.0,0.11,5759.0,979.0,782.0
MSLB,2026-03-19,1361.3,1361.3,1335.0,1347.8,-0.99,4444.0,1710.0,1130.2
NABBC,2026-03-19,1436.7,1580.0,1385.0,1500.0,4.41,77696.0,2040.0,662.0
NABIL,2026-03-19,528.0,536.0,527.0,535.2,1.36,151867.0,562.0,471.0
NABILD2089,2026-03-19,1056.7,1077.8,1056.7,1077.8,2.0,75.0,1125.0,1000.0
NADEP,2026-03-19,802.0,813.0,788.3,801.3,-0.09,4176.0,1046.0,696.0
NBF2,2026-03-19,9.95,10.16,9.95,10.02,0.7,545450.0,11.1,8.89
NBF3,2026-03-19,9.6,10.0,9.6,9.85,2.6,164505.0,10.67,8.35
NBL,2026-03-19,259.0,275.2,259.0,274.7,6.06,299889.0,313.0,225.4
NBLD82,2026-03-19,1060.0,1060.0,1060.0,1060.0,0.0,50.0,1150.0,1042.5
NBLD87,2026-03-19,1065.6,1076.0,1065.6,1075.1,0.89,75.0,1150.0,1010.1
NCCD86,2026-03-19,1120.0,1120.0,1120.0,1120.0,0.0,25.0,1230.0,1052.4
NESDO,2026-03-19,1599.0,1600.0,1556.5,1600.0,0.06,3322.0,1894.0,1380.1
NFS,2026-03-19,660.0,668.0,655.0,663.0,0.45,29626.0,851.0,576.0
NGPL,2026-03-19,459.0,478.0,459.0,474.0,3.27,1426082.0,479.2,254.8
NHDL,2026-03-19,684.0,684.0,671.1,677.5,-0.95,16961.0,882.3,623.0
NHPC,2026-03-19,300.0,327.4,296.0,312.0,4.0,2169302.0,327.4,178.6
NIBD84,2026-03-19,1071.5,1071.5,1071.5,1071.5,0.0,100.0,1130.0,1013.1
NIBLGF,2026-03-19,9.29,9.54,9.29,9.36,0.75,27590.0,11.03,7.84
NIBLSTF,2026-03-19,9.3,9.55,9.21,9.49,2.04,17620.0,10.08,7.85
NIBSF2,2026-03-19,9.54,9.54,9.3,9.48,-0.63,13550.0,10.52,8.06
NICA,2026-03-19,346.0,367.0,346.0,366.0,5.78,326932.0,428.4,304.5
NICAD2091,2026-03-19,1085.0,1085.0,1063.3,1063.3,-2.0,50.0,1102.6,1005.2
NICBF,2026-03-19,9.79,10.16,9.79,10.16,3.78,3400.0,10.93,8.48
NICFC,2026-03-19,9.35,9.69,9.35,9.43,0.86,10747.0,10.4,8.37
NICGF2,2026-03-19,9.26,9.63,9.26,9.63,4.0,54700.0,9.98,8.33
NICL,2026-03-19,523.0,526.0,516.0,525.0,0.38,48744.0,877.8,483.0
NICLBSL,2026-03-19,595.0,610.0,588.2,610.0,2.52,50717.0,764.0,535.0
NICSF,2026-03-19,9.49,9.6,9.35,9.6,1.16,21230.0,9.99,8.04
NIFRA,2026-03-19,281.0,292.4,281.0,292.0,3.91,778529.0,328.1,249.9
NIFRAGED,2026-03-19,1048.4,1050.0,1034.1,1034.1,-1.36,846.0,1137.2,948.0
NIL,2026-03-19,665.7,665.8,658.0,665.0,-0.11,11113.0,783.9,562.0
NIMB,2026-03-19,213.1,226.7,213.1,223.0,4.65,812852.0,247.0,184.2
NIMBD90,2026-03-19,1188.0,1188.0,1188.0,1188.0,0.0,25.0,1425.0,1115.0
NIMBPO,2026-03-19,165.0,166.9,160.5,165.1,0.06,27060.0,184.5,150.0
NLG,2026-03-19,685.0,712.0,685.0,704.9,2.91,34835.0,976.2,655.0
NLIC,2026-03-19,802.0,829.0,800.2,828.0,3.24,176072.0,890.0,702.0
NLICL,2026-03-19,620.0,631.0,589.0,620.0,0.0,71173.0,691.0,539.0
NMB,2026-03-19,249.0,262.9,249.0,260.9,4.78,221234.0,283.0,231.0
NMB50,2026-03-19,10.14,10.54,10.14,10.38,2.37,2150.0,11.93,9.75
NMBD89/90,2026-03-19,1225.0,1225.0,1225.0,1225.0,0.0,25.0,1336.0,1145.1
NMBHF2,2026-03-19,9.65,9.89,9.65,9.74,0.93,62120.0,10.03,8.16
NMBMF,2026-03-19,690.0,704.0,684.1,696.1,0.88,6021.0,835.0,596.0
NMFBS,2026-03-19,1190.0,1197.0,1169.1,1190.0,0.0,6481.0,1504.0,1086.0
NMIC,2026-03-19,1325.0,1358.0,1308.0,1348.0,1.74,10795.0,2703.3,302.3
